source_id,source_name,source_url,favicon_url
acouplecooks,A Couple Cooks,https://www.acouplecooks.com/,https://www.acouplecooks.com/favicon.ico
allrecipes,Allrecipes,https://www.allrecipes.com/,https://www.allrecipes.com/favicon.ico
amazingribs,Amazing Ribs,https://amazingribs.com/,https://amazingribs.com/favicon.ico
ambitiouskitchen,Ambitious Kitchen,https://www.ambitiouskitchen.com/,https://www.ambitiouskitchen.com/wp-content/uploads/2020/09/cropped-AK-for-small-sizes-1-2-32x32.png
bbcfood,BBC Food,https://bbc.co.uk/food,https://www.bbc.co.uk/favicon.ico
bbcgoodfood,BBC Good Food,https://www.bbcgoodfood.com/,https://images.immediate.co.uk/production/volatile/sites/30/2019/07/Favicon-618c8c0.png?quality=90&resize=32,32
bonappetit,Bon Appétit,https://www.bonappetit.com/,https://www.bonappetit.com/favicon.ico
budgetbytes,Budget Bytes,https://www.budgetbytes.com/,https://www.budgetbytes.com/favicon.ico
claudiaabril,CLAUDIA,https://claudia.abril.com.br/gastronomia/,https://claudia.abril.com.br/wp-content/uploads/2018/06/cropped-claudia.png?w=32
cookieandkate,Cookie and Kate,https://cookieandkate.com/,https://cookieandkate.com/favicon.ico
eatsmarter,Eat Smarter,https://eatsmarter.com/,https://eatsmarter.com/sites/all/themes/eatsmarter/images/favicons/favicon.ico
epicurious,Epicurious,https://www.epicurious.com/,https://www.epicurious.com/favicon.ico
foodandwine,Food & Wine,https://www.foodandwine.com/,https://www.foodandwine.com/favicon.ico
foodnetwork,Food Network,https://foodnetwork.co.uk/,https://foodnetwork.co.uk/favicon.ico
greatbritishchefs,Great British Chefs,https://www.greatbritishchefs.com/,https://www.greatbritishchefs.com/Content/Favicon/favicon-32x32.png
jamieoliver,Jamie Oliver,https://www.jamieoliver.com/,https://cdn.jamieoliver.com/library/images/favicon.ico
minimalistbaker,Minimalist Baker,https://minimalistbaker.com/,https://minimalistbaker.com/wp-content/uploads/2020/05/cropped-favicon-32x32.png
myrecipes,MyRecipes,https://www.myrecipes.com/,https://www.myrecipes.com/favicon.ico
nytimescooking,NYT Cooking,https://cooking.nytimes.com/,https://cooking.nytimes.com/favicon.ico
taste,Taste,https://www.taste.com.au/,https://www.taste.com.au/favicon.ico
tasteofhome,Taste of Home,https://www.tasteofhome.com/,https://www.tasteofhome.com/wp-content/uploads/2018/09/TOH_Pinterest_ProfilePhoto_RedBkg.png?fit=32,32
tasty,Tasty,https://tasty.co/,https://tasty.co/static-assets/tasty-ui/_next/static/img/favicon.b3bba8bf837f3cc2436736a18d4c4e6d.ico
tescorealfood,Tesco Real Food,https://realfood.tesco.com/,https://realfood.tesco.com/favicon.ico
thehappyfoodie,The Happy Foodie,https://thehappyfoodie.co.uk/,https://fl-1.cdn.flockler.com/thumbs/sites/192/favicon-5fec67c0-8a97-4a84-b847-1efe45336060.png
thekitchn,Kitchn,https://www.thekitchn.com/,https://www.thekitchn.com/favicon.ico
thespruceeats,The Spruce Eats,https://www.thespruceeats.com/,https://www.thespruceeats.com/static/5.63.0/icons/favicons/favicon.ico